lemma;upos;ner tag;fc_count;stopword;rfc_count;fcTotalCount;rfcTotalCount;simpleMathsScore
pool;ADV;O;1;yes;622239;4541;932020281;0.3308523921707571
tunnustatud;ADJ;O;1;no;30521;4541;932020281;6.5550977600713
stembus;PROPN;O;1;no;1;4541;932020281;220.97871502908976
vaatama;VERB;O;11;no;1204593;4541;932020281;1.8735684534938895
kui;ADV;O;3;yes;8931430;4541;932020281;0.06903759905971446
tohtima;AUX;O;3;no;277697;4541;932020281;2.213225410585245
välismaalane;NOUN;O;1;no;24236;4541;932020281;8.1920477053616
sportlane;NOUN;O;1;no;73515;4541;932020281;2.7694543315937104
puhul;ADP;O;3;yes;590898;4541;932020281;1.0419694957676993
võimalus;NOUN;O;2;no;898809;4541;932020281;0.4572684984101626
valik;NOUN;O;1;no;369082;4541;932020281;0.5572157039748997
hoopis;ADV;O;2;yes;292629;4541;932020281;1.4014913318808522
inimene;NOUN;O;13;no;2532682;4541;932020281;1.0534851921213138
liitma;VERB;O;2;no;28972;4541;932020281;13.758124206574488
enamasti;ADV;O;1;no;136704;4541;932020281;1.497991749329315
sõel;NOUN;O;1;no;10326;4541;932020281;18.31384361062338
koosnema;VERB;O;1;no;94869;4541;932020281;2.152144331936212
palju;PRON;O;4;yes;2035102;4541;932020281;0.40368403579494505
mäletaja;NOUN;O;1;no;218;4541;932020281;179.2817276336888
korjama;VERB;O;2;no;54312;4541;932020281;7.447380245123484
üle;ADP;O;1;yes;1448447;4541;932020281;0.14225238526737288
nimelt;ADV;O;1;no;164850;4541;932020281;1.2436669696870013
üksik;ADJ;O;4;no;81857;4541;932020281;9.927819263147745
külaots;NOUN;O;1;no;1127;4541;932020281;100.13384748756648
pärnu;PROPN;O;2;no;239995;4541;932020281;1.707667429008444
lauk;NOUN;O;1;no;2879;4541;932020281;54.10037407026338
võru;PROPN;O;1;no;57960;4541;932020281;3.5009432824293545
seeman;PROPN;O;1;no;1700;4541;932020281;78.3343594575669
vändra;PROPN;O;1;no;9895;4541;932020281;19.04287767459667
püüdma;VERB;O;9;no;287450;4541;932020281;6.408660432693789
tunne;NOUN;O;1;no;252383;4541;932020281;0.813917874126648
mags;NOUN;O;1;no;68;4541;932020281;206.17344138789545
tõmbama;VERB;O;1;no;194731;4541;932020281;1.0537383226291803
hoidma;VERB;O;1;no;581462;4541;932020281;0.35401741022681066
vaevalt;ADV;O;2;no;43182;4541;932020281;9.326359798567744
vallimägi;NOUN;O;1;no;2241;4541;932020281;64.97835013096163
pärast;ADP;O;2;yes;1109488;4541;932020281;0.37051135407105396
analüüsima;VERB;O;2;no;66958;4541;932020281;6.060142913480072
järelikult;ADV;O;2;yes;32572;4541;932020281;12.279816626520999
meeldima;VERB;O;2;no;469613;4541;932020281;0.8743546474176411
