word;fc_count;stopword;rfc_count;fcTotalCount;rfcTotalCount;simpleMathsScore
traditsioonid;1;no;6097;3883;932046280;34.28126063305119
maksid;1;no;6180;3883;932046280;33.88118665707824
palgast;1;no;6333;3883;932046280;33.16765760870816
kuningliku;1;no;6360;3883;932046280;33.04484890439545
kontserti;2;no;13696;3883;932046280;32.881840784886954
kuumus;1;no;6418;3883;932046280;32.78408847331216
kuninganna;2;no;13770;3883;932046280;32.71633618969385
kolmandana;1;no;6555;3883;932046280;32.184196345913186
plaza;1;no;6565;3883;932046280;32.1412671773528
piletite;1;no;6644;3883;932046280;31.80611081568774
eksemplari;1;no;6654;3883;932046280;31.76418369101473
kuulsaks;1;no;6683;3883;932046280;31.643217738455945
metsik;1;no;6694;3883;932046280;31.59757476930221
loole;1;no;6701;3883;932046280;31.568597737685785
firmat;1;no;6718;3883;932046280;31.49844572266547
ajakirjanikud;2;no;14446;3883;932046280;31.27816629076485
washingtoni;1;no;6791;3883;932046280;31.200715208773676
kontserdile;1;no;6860;3883;932046280;30.924427148866847
tali;1;no;6876;3883;932046280;30.86105779670903
tõsteti;1;no;6913;3883;932046280;30.71550618391749
mõõt;1;no;6960;3883;932046280;30.53258419646
mõjunud;1;no;7037;3883;932046280;30.23756658700932
suurtel;1;no;7074;3883;932046280;30.097823457305687
kirjutasid;2;no;15160;3883;932046280;29.89036200888417
klapp;1;no;7145;3883;932046280;29.833253292496785
puhkes;1;no;7220;3883;932046280;29.5587830650121
plaate;1;no;7236;3883;932046280;29.50088176122074
lõppema;1;no;7318;3883;932046280;29.20766252070757
tuletas;1;no;7335;3883;932046280;29.147601134084727
jälgis;1;no;7345;3883;932046280;29.11238615503536
pääsemiseks;1;no;7386;3883;932046280;28.96888997910925
liidrid;1;no;7398;3883;932046280;28.9271583166353
massiliselt;1;no;7441;3883;932046280;28.77860213218109
positiivseks;1;no;7555;3883;932046280;28.39204118567136
imelised;1;no;7597;3883;932046280;28.252228867781326
voodist;1;no;7608;3883;932046280;28.215838606258576
klaasid;1;no;7637;3883;932046280;28.120348479021043
õun;1;no;7689;3883;932046280;27.95073355370723
na;1;no;7712;3883;932046280;27.87636249518772
williams;1;no;7768;3883;932046280;27.696929392249043
esinemist;1;no;7797;3883;932046280;27.60491350338664
avastasid;1;no;7823;3883;932046280;27.52293475328824
paanika;1;no;7898;3883;932046280;27.289162467046424
taheti;1;no;7924;3883;932046280;27.209045651741885
tuntuks;1;no;7965;3883;932046280;27.08365899682146
söödud;1;no;7972;3883;932046280;27.062366922744584
fänn;2;no;16892;3883;932046280;26.98585277533951
londoni;3;no;25796;3883;932046280;26.97651756757497
vaadati;1;no;8046;3883;932046280;26.839310024859767
laulude;1;no;8058;3883;932046280;26.80348465641702
publik;2;no;17035;3883;932046280;26.77107195456714
edetabelis;2;no;17170;3883;932046280;26.571420784861555
pooleldi;1;no;8138;3883;932046280;26.56707144458572
lisame;1;no;8211;3883;932046280;26.35495437155973
esikohal;1;no;8263;3883;932046280;26.205911334081826
esinemise;1;no;8275;3883;932046280;26.17175587027232
tudeng;1;no;8289;3883;932046280;26.132020186158197
liikusid;1;no;8305;3883;932046280;26.086755465131105
neljandaks;1;no;8399;3883;932046280;25.82396017507041
meeldivat;1;no;8411;3883;932046280;25.79079245730322
tunnistati;1;no;8499;3883;932046280;25.550141561436483
langesid;1;no;8508;3883;932046280;25.5257824357254
esinema;1;no;8553;3883;932046280;25.404680210633504
rootsist;1;no;8608;3883;932046280;25.25821788009805
hooli;1;no;8652;3883;932046280;25.14225834127117
tellis;1;no;8704;3883;932046280;25.00658055437016
jäädvustada;1;no;8710;3883;932046280;24.9910195957345
sõideti;1;no;8749;3883;932046280;24.89034351837216
tunnistust;1;no;8817;3883;932046280;24.716732345480143
ootusi;1;no;8825;3883;932046280;24.69646659567335
faktid;1;no;8844;3883;932046280;24.6484683710457
mõnedki;1;no;8889;3883;932046280;24.535529174439336
kohutav;2;no;18763;3883;932046280;24.422237040456334
avaldasid;1;no;8989;3883;932046280;24.288221294988148
valmistama;1;no;9062;3883;932046280;24.110811654802436
suurused;1;no;9133;3883;932046280;23.940731202128056
ajakirjanikele;1;no;9149;3883;932046280;23.902733985510373
klassikalise;2;no;19219;3883;932046280;23.86958384638864
