lemma;upos;ner tag;fc_count;stopword;rfc_count;fcTotalCount;rfcTotalCount
rikas;ADJ;O;2;no;43131;8801;932062935
100;NUM;O;4;no;0;8801;932062935
protsent;NOUN;O;10;no;264740;8801;932062935
SKP;PROPN;O;1;no;6071;8801;932062935
võlgu;ADV;O;1;no;7776;8801;932062935
välismaine;ADJ;O;1;no;16784;8801;932062935
võlanõudja;NOUN;O;1;no;128;8801;932062935
edulugu;NOUN;O;2;no;9735;8801;932062935
liit;NOUN;O;6;no;238980;8801;932062935
paradii;NOUN;O;1;no;0;8801;932062935
noh;INTJ;O;27;yes;115252;8801;932062935
pauk;NOUN;O;2;no;19102;8801;932062935
lõhki;ADV;O;4;no;11714;8801;932062935
tunnistama;VERB;O;4;no;199326;8801;932062935
peaaegu;ADV;O;1;yes;177844;8801;932062935
mainima;VERB;O;1;no;100863;8801;932062935
Pauk;PROPN;O;1;no;287;8801;932062935
lõhkiminek;NOUN;O;1;no;80;8801;932062935
emotsioon;NOUN;O;1;no;86400;8801;932062935
lihtsalt;ADV;O;23;no;748671;8801;932062935
pangandus;NOUN;O;2;no;5561;8801;932062935
palju;ADV;O;6;yes;2032422;8801;932062935
sisse;ADV;O;4;yes;547615;8801;932062935
käsi;NOUN;O;3;no;694904;8801;932062935
võlakirjaomanik;NOUN;O;1;no;115;8801;932062935
nõudma;VERB;O;2;no;245266;8801;932062935
puhas;ADJ;O;1;no;200947;8801;932062935
reguleerimine;NOUN;O;2;no;20907;8801;932062935
seesama;DET;O;7;yes;50200;8801;932062935
tasand;NOUN;O;1;no;97794;8801;932062935
Portugalil;PROPN;O;1;no;0;8801;932062935
miski;PRON;O;9;yes;1421694;8801;932062935
aru;NOUN;O;5;no;417387;8801;932062935
aga;ADV;O;4;yes;4543343;8801;932062935
kuulama;VERB;O;3;no;202795;8801;932062935
sisuline;ADJ;O;3;no;23740;8801;932062935
argument;NOUN;O;3;no;29905;8801;932062935
kuulma;VERB;O;7;no;283532;8801;932062935
teine;DET;O;7;yes;2482902;8801;932062935
vaade;NOUN;O;1;no;98287;8801;932062935
Liit;PROPN;O;10;no;231191;8801;932062935
president;NOUN;O;4;no;267125;8801;932062935
Rumpoi;PROPN;O;1;no;0;8801;932062935
ellujäämiskriis;NOUN;O;1;no;0;8801;932062935
terve;ADJ;O;2;no;341956;8801;932062935
eksistents;NOUN;O;1;no;6167;8801;932062935
ohustatud;VERB;O;1;no;7564;8801;932062935
väljamõeld;NOUN;O;1;no;0;8801;932062935
vaid;CCONJ;O;9;yes;1233871;8801;932062935
jutt;NOUN;O;6;no;337829;8801;932062935
ainult;ADV;O;6;yes;947442;8801;932062935
ligi;ADV;O;3;yes;191809;8801;932062935
üleminek;NOUN;O;3;no;43544;8801;932062935
aitama;VERB;O;4;no;740996;8801;932062935
säilimine;NOUN;O;2;no;12969;8801;932062935
sattuma;VERB;O;3;no;202967;8801;932062935
pelgama;VERB;O;1;no;14799;8801;932062935
