lemma;fc_count;stopword;rfc_count;fcTotalCount;rfcTotalCount;simpleMathsScore
huvi;5;no;327462;5042;932020281;2.817312403159541
kutsuma;5;no;330462;5042;932020281;2.791808209685223
mälestus;1;no;65744;5042;932020281;2.786358944850796
rahaline;1;no;65836;5042;932020281;2.782519606469226
otseselt;1;no;66125;5042;932020281;2.770527600816428
avamine;1;no;66166;5042;932020281;2.768834680054268
london;1;no;66174;5042;932020281;2.7685045952519265
ost;1;no;66823;5042;932020281;2.7419861251095394
fond;1;no;67038;5042;932020281;2.7333127862689546
tutvustama;2;no;135198;5042;932020281;2.722651697164004
omandama;1;no;67394;5042;932020281;2.719071369193733
tähtsam;1;no;67520;5042;932020281;2.7140663599754222
vihm;1;no;68021;5042;932020281;2.6943464515391216
kodanik;2;no;137482;5042;932020281;2.6777246264547063
muretsema;1;no;68548;5042;932020281;2.6739100645861744
täiendama;1;no;68610;5042;932020281;2.671526147303725
olemasolu;1;no;68732;5042;932020281;2.6668476032194706
tagasiside;1;no;69758;5042;932020281;2.6281407867547624
nõustuma;1;no;70087;5042;932020281;2.615965762156829
joon;1;no;70294;5042;932020281;2.6083631344846645
kujutama;2;no;141206;5042;932020281;2.607568545138789
täpsem;1;no;70657;5042;932020281;2.5951371423688143
vast;1;no;71085;5042;932020281;2.5797141396869487
kirjandus;1;no;71109;5042;932020281;2.578854724604944
sild;1;no;72239;5042;932020281;2.53902876854184
kolleeg;1;no;72370;5042;932020281;2.534491202354661
mäng;10;no;733219;5042;932020281;2.5191616187270163
ütlema;24;no;1762423;5042;932020281;2.516432195961481
rääkima;15;no;1111753;5042;932020281;2.4928003417542057
vaikselt;1;no;73642;5042;932020281;2.49126069396518
põhinema;1;no;73932;5042;932020281;2.4816103225512727
plaan;4;no;298618;5042;932020281;2.471497883827812
kiire;3;no;224562;5042;932020281;2.463417589951308
vana;6;no;450489;5042;932020281;2.4589901706529496
täpsemalt;1;no;74862;5042;932020281;2.451160722550952
direktor;1;no;74907;5042;932020281;2.449706296688037
kindlasti;8;no;603773;5042;932020281;2.447048416236927
suunama;1;no;75146;5042;932020281;2.442010515400013
